ID,Nombre2,PAIS,FUENTE,Fecha,HORA,MES_COLECTADO,ELEVACION,LATITUD,LONGITUD,TIPO,CLASE,COMENTARIOS,Conductivity,d18O,d2H,d-excess,H3,Precipitation,TempAir,TempWater,Vp
1b223fd9-6967-45eb-913e-f91c7ff930a0,MARABA,BR,GNIP - Events,31/07/1989,0:00:00,7,87,-5.333333333,-49.13472222,Precipitation,Rain,,,-1.07,5.7,6.77,,9.2,,,
1b243f01-c10e-490a-af18-96fde761bce3,BOA VISTA,BR,GNIP - Monthly,15/04/1973,0:00:00,4,78,2.833333333,-60.7,Precipitation,Rain,,,-5.4,-29,-23.6,,46.4,,,
1b30840b-4245-4b72-9936-a5576f048aaf,CUMBAYA (USFQ),EC,GNIP - Monthly,15/08/2018,0:00:00,8,2380,-0.1968,-78.436,Precipitation,Precipitation - type unavailable,,,-12.63,-102.1,-89.47,,,,,
1b314528-f81c-44c4-95ff-33dd6f943b5b,LA MARIA,CO,GNIP - Monthly,15/12/2003,0:00:00,12,2100,3.301436111,-76.08044444,Precipitation,Rain,,,-9.7,-67.4,-57.7,,2200,,,
1b434502-ce10-403b-85cb-618eaba0de21,GALAPAGOS (CDRS),EC,GNIP - Events,5/12/2015,6:00:00,12,2,-0.743055556,-90.30222222,Precipitation,Trace precipitation,,,-1.08056074,0.612457383,1.693018122,,0,,,
1b464142-923c-4cac-81e1-dc64edcd1add,HUACULLANI,PE,GNIP - Monthly,15/02/2000,0:00:00,2,3960,-16.63333333,-69.325,Precipitation,Rain,,,-20.75,-151.4,-130.65,,,,,
1b4ee11d-df37-4a31-a1e7-0cf0e1f8acad,BELO HORIZONTE-CDTN,BR,GNIP - Monthly,15/04/2015,0:00:00,4,857,-19.87086111,-43.96733333,Precipitation,Rain,,,-6.84,-42,-35.16,2.39,35.6,22.5,,27.2
1b528c30-f468-4895-b3ed-05eb57bd471a,IAUARETE,BR,GNIP - Monthly,15/04/1973,0:00:00,4,123,0.616666667,-69.2,Precipitation,Rain,,,-11.2,-79,-67.8,,384.9,,,
1b7be658-61fd-4928-acea-c9546fc904d9,GALAPAGOS (CDRS),EC,GNIP - Events,23/07/2013,6:00:00,7,2,-0.743055556,-90.30222222,Precipitation,Rain,,,-0.915312162,1.837224833,2.752536995,,0.6,,,
1b9e7b9a-118d-4b47-aff0-20ddd42262c9,FLORESTA - MET.STATION,BR,GNIP - Monthly,15/12/1974,0:00:00,12,320,-8.587013889,-38.57735833,Precipitation,Rain,,,2.2,8,5.8,,34,,,
1ba95c0a-cf0c-45e2-a792-8ee952b792c2,NUEVA ROCAFUERTE,EC,GNIP - Monthly,15/04/2016,0:00:00,4,180,-0.92,-75.4,Precipitation,Rain,,,-9.07,-62.6,-53.53,,355.5,,,
1bb9e752-ad25-46a4-8ee5-e59d465dcd6d,CUMBAYA (USFQ),EC,GNIP - Monthly,15/04/2022,0:00:00,4,2380,-0.1968,-78.436,Precipitation,Precipitation - type unavailable,,,-15.97,-120.8,-104.83,,,,,
1bbfcc24-59f4-4074-a745-e83f0f40011c,IZOBAMBA,EC,GNIP - Monthly,15/09/2000,0:00:00,9,3058,-0.37,-78.55,Precipitation,Rain,,,-12.82,-93.3,-80.48,,168.2,10.9,,
1bc18767-42cb-44e3-ba01-161536b7bbaf,LEBRIJA - La Esperanza,CO,GNIR - Time series,20/11/2007,0:00:00,11,1029,7.069166667,-73.07222222,Surface waters,Surface Water - flowing,,,-8.29,-51.88,-43.59,,,,,
1bcb5877-09d2-4543-923d-184809febd62,BRASILIA (AIRPORT),BR,GNIP - Monthly,15/01/1966,0:00:00,1,1061,-15.85,-47.93,Precipitation,Precipitation - type unavailable,,,-7.6,-49.6,-42,,231,21,,20.1
1bcd9cda-7084-4419-b3c7-d55653138e0c,CLARO - Rio Claro (Recreio),BR,GNIR - Time series,29/05/1996,0:00:00,5,512,-22.48591389,-47.59269167,Surface waters,Surface Water - flowing,4d-021-16                ,,-6.34,-42.37,-36.03,,,,,
1bcf7fe8-9f3b-4edd-a1e7-e87f9e5350f0,IZOBAMBA,EC,GNIP - Monthly,15/08/2017,0:00:00,8,3058,-0.37,-78.55,Precipitation,Rain,,,-8.37,-55.8,-47.43,2.37,43.2,,,
1bd63227-1e50-43bd-b2e8-cb3f222dc55e,PORTO ALEGRE,BR,GNIP - Monthly,15/05/1978,0:00:00,5,7,-30.08,-51.18,Precipitation,Rain,,,-5.9,-38.7,-32.8,12.4,27,14.7,,12.5
1be2e78e-f5bd-4867-9947-6fa5eee92384,SAN GABRIEL,EC,GNIP - Monthly,15/06/2019,0:00:00,6,2860,0.604166667,-77.81944444,Precipitation,Precipitation - type unavailable,,,-6.96,-45.2,-38.24,,,,,
1bfaec18-a805-4490-a1b2-e335e8402660,QUITO-INAMHI,EC,GNIP - Monthly,15/08/2016,0:00:00,8,2789,-0.166666667,-78.48333333,Precipitation,Precipitation - type unavailable,,,-7.59,-49.5,-41.91,,,,,
1bfd8710-1d15-4467-84d9-774df8c9389e,BELEM,BR,GNIP - Monthly,15/10/1966,0:00:00,10,24,-1.43,-48.48,Precipitation,Rain,,,-1,-1.6,-0.6,13.6,62,26.2,,27.9
1c0fd963-c777-456a-90ba-254ba3c73d83,PIRACICABA,BR,GNIP - Events,15/11/1997,0:00:00,11,545,-22.71,-46.46583333,Precipitation,Rain,,,-3.55,-4.42,-0.87,,24.1,,,
1c18329f-2a83-4268-87f6-822c57187e0b,PUYO,EC,GNIP - Monthly,15/07/2015,0:00:00,7,960,-1.5075,-77.94388889,Precipitation,Precipitation - type unavailable,,,2.57,27.8,25.23,,,,,
1c212aa1-821d-40c1-b89a-4e821d7b6880,SAO GABRIEL,BR,GNIP - Monthly,15/06/1968,0:00:00,6,87,-0.13,-67.08,Precipitation,Rain,,,-5.82,-31.7,-25.88,19.6,363,24.4,,27.8
1c22b35d-7e92-452a-bd6a-d471ceade62d,MARACAY,VE,GNIP - Monthly,15/08/1964,0:00:00,8,442,10.25,-67.65,Precipitation,Precipitation - type unavailable,,,-1,-6.2,-5.2,,134,24.4,,24.7
1c23022c-3e75-41b7-8d23-100d8725ffe3,AMAZON - Obidos,BR,GNIR - Time series,19/08/2001,0:00:00,8,6,-1.9225,-55.67527778,Surface waters,Surface Water - flowing,,,-4.94,-30.24,-25.3,,,,,
1c270996-a03f-409f-b014-cfcf7ae7b617,CRUZEIRO DO SUL,BR,GNIP - Monthly,15/02/1990,0:00:00,2,170,-7.66,-72.65,Precipitation,Rain,,,-5.77,-32.3,-26.53,,259,,,
1c3c2724-5426-4f76-9daf-a6504044ab3c,QUITO-INAMHI,EC,GNIP - Monthly,1/3/1998,0:00:00,3,2789,-0.166666667,-78.48333333,Precipitation,Rain,,,-14.54,-103.3,-88.76,,128,,,
1c3cd7b4-e73c-44e7-9e5d-416db83a2659,LEBRIJA - Conquistador,CO,GNIR - Time series,3/6/2005,0:00:00,6,1073,6.991944444,-73.03888889,Surface waters,Surface Water - flowing,,70.8,-9.47,-63.35,-53.88,,,,22.4,
1c43d218-f587-4db3-b5c2-6947dd78336e,LEBRIJA - Conquistador,CO,GNIR - Time series,15/05/2005,0:00:00,5,1073,6.991944444,-73.03888889,Surface waters,Surface Water - flowing,,85.5,-10.09,-67.8,-57.71,,,,21.6,
1c473ef9-0311-4171-8d47-9c50ae7547c0,CAMPO GRANDE,BR,GNIP - Monthly,15/09/1979,0:00:00,9,572,-20.47,-54.67,Precipitation,Rain,,,-5.5,-30,-24.5,,190.8,,,
